"rt","response","dr","drt","observed","subject","condition"
0.7195,1,FALSE,0,1,"s1","speed"
0.4572,1,FALSE,0,1,"s1","speed"
0.4572,0,FALSE,0,1,"s1","speed"
0.7581,0,FALSE,0,1,"s1","speed"
0.5791,1,FALSE,0,1,"s1","speed"
0.4063,1,FALSE,0,1,"s1","speed"
0.3626,1,FALSE,0,1,"s1","speed"
0.2957,0,FALSE,0,1,"s1","speed"
0.4943,1,FALSE,0,1,"s1","speed"
0.5869,1,FALSE,0,1,"s1","speed"
0.3853,1,FALSE,0,1,"s1","speed"
0.6783,1,FALSE,0,1,"s1","speed"
0.3494,1,FALSE,0,1,"s1","speed"
0.4824,0,FALSE,0,1,"s1","speed"
0.4556,1,FALSE,0,1,"s1","speed"
0.3915,0,FALSE,0,1,"s1","speed"
0.7067,1,FALSE,0,1,"s1","speed"
0.4552,1,FALSE,0,1,"s1","speed"
0.3482,1,FALSE,0,1,"s1","speed"
0.5765,0,FALSE,0,1,"s1","speed"
0.5483,1,FALSE,0,1,"s1","speed"
0.4898,1,FALSE,0,1,"s1","speed"
0.4304,1,FALSE,0,1,"s1","speed"
0.3735,1,FALSE,0,1,"s1","speed"
0.3502,0,FALSE,0,1,"s1","speed"
0.3387,1,FALSE,0,1,"s1","speed"
0.3919,0,FALSE,0,1,"s1","speed"
0.592,0,FALSE,0,1,"s1","speed"
0.6796,0,FALSE,0,1,"s1","speed"
0.6248,1,FALSE,0,1,"s1","speed"
0.6189,1,FALSE,0,1,"s1","speed"
0.4844,1,FALSE,0,1,"s1","speed"
0.4159,1,FALSE,0,1,"s1","speed"
0.4276,1,FALSE,0,1,"s1","speed"
0.3202,0,FALSE,0,1,"s1","speed"
0.2946,1,FALSE,0,1,"s1","speed"
0.6665,1,FALSE,0,1,"s1","speed"
0.5622,1,FALSE,0,1,"s1","speed"
0.4408,0,FALSE,0,1,"s1","speed"
0.4029,0,FALSE,0,1,"s1","speed"
0.4909,1,FALSE,0,1,"s1","speed"
0.4825,1,FALSE,0,1,"s1","speed"
0.3034,0,FALSE,0,1,"s1","speed"
0.5708,1,FALSE,0,1,"s1","speed"
0.8158,1,FALSE,0,1,"s1","speed"
